date,city_name,country,country_code,region,latitude,longitude,timezone,temperature_max,temperature_min,temperature_mean,precipitation_sum,precipitation_hours,wind_speed_max,wind_direction,humidity_max,humidity_min,uv_index_max,weather_code,sunrise,sunset,weather_description,temperature_range,humidity_mean,precipitation_category,temperature_category
2026-06-15,Ciudad de México,México,MX,Norte,19.4326,-99.1332,America/Mexico_City,24.4,13.8,18.8,2.5,7.0,7.7,102,97,39,9.2,55,2026-06-15T05:58,2026-06-15T19:15,Llovizna intensa,10.6,68.0,Leve,Templado
2026-06-16,Ciudad de México,México,MX,Norte,19.4326,-99.1332,America/Mexico_City,24.7,14.5,18.3,7.2,9.0,11.8,129,95,34,9.2,81,2026-06-16T05:58,2026-06-16T19:16,Chubascos moderados,10.2,64.5,Moderada,Templado
2026-06-17,Ciudad de México,México,MX,Norte,19.4326,-99.1332,America/Mexico_City,23.5,14.4,17.7,9.0,11.0,10.1,135,94,38,8.7,95,2026-06-17T05:58,2026-06-17T19:16,Tormenta eléctrica,9.1,66.0,Moderada,Templado
2026-06-18,Ciudad de México,México,MX,Norte,19.4326,-99.1332,America/Mexico_City,25.1,13.2,18.4,9.0,11.0,13.6,120,97,36,9.7,95,2026-06-18T05:58,2026-06-18T19:16,Tormenta eléctrica,11.9,66.5,Moderada,Templado
2026-06-19,Ciudad de México,México,MX,Norte,19.4326,-99.1332,America/Mexico_City,24.6,14.6,18.2,10.2,11.0,11.9,120,98,45,9.5,95,2026-06-19T05:58,2026-06-19T19:16,Tormenta eléctrica,10.0,71.5,Moderada,Templado
2026-06-20,Ciudad de México,México,MX,Norte,19.4326,-99.1332,America/Mexico_City,24.1,14.3,18.4,4.1,8.0,12.3,143,93,36,8.0,80,2026-06-20T05:58,2026-06-20T19:17,Chubascos leves,9.8,64.5,Leve,Templado
2026-06-21,Ciudad de México,México,MX,Norte,19.4326,-99.1332,America/Mexico_City,24.0,13.7,18.7,0.2,2.0,11.0,116,91,33,8.9,51,2026-06-21T05:59,2026-06-21T19:17,Llovizna leve,10.3,62.0,Leve,Templado
2026-06-22,Ciudad de México,México,MX,Norte,19.4326,-99.1332,America/Mexico_City,25.9,13.3,19.1,3.4,13.0,10.7,276,94,32,9.2,53,2026-06-22T05:59,2026-06-22T19:17,Llovizna moderada,12.6,63.0,Leve,Templado
2026-06-15,Guadalajara,México,MX,Norte,20.6597,-103.3496,America/Mexico_City,27.0,17.7,21.9,0.5,5.0,11.5,252,96,43,9.4,51,2026-06-15T06:12,2026-06-15T19:35,Llovizna leve,9.3,69.5,Leve,Cálido
2026-06-16,Guadalajara,México,MX,Norte,20.6597,-103.3496,America/Mexico_City,26.9,17.9,22.2,3.0,8.0,15.4,250,94,44,9.5,95,2026-06-16T06:12,2026-06-16T19:35,Tormenta eléctrica,9.0,69.0,Leve,Cálido
2026-06-17,Guadalajara,México,MX,Norte,20.6597,-103.3496,America/Mexico_City,26.2,18.5,22.0,2.0,6.0,10.4,260,89,41,9.5,53,2026-06-17T06:12,2026-06-17T19:35,Llovizna moderada,7.7,65.0,Leve,Cálido
2026-06-18,Guadalajara,México,MX,Norte,20.6597,-103.3496,America/Mexico_City,27.6,18.5,22.3,3.8,7.0,11.4,260,90,45,9.4,80,2026-06-18T06:13,2026-06-18T19:36,Chubascos leves,9.1,67.5,Leve,Cálido
2026-06-19,Guadalajara,México,MX,Norte,20.6597,-103.3496,America/Mexico_City,27.5,18.0,21.0,16.3,14.0,13.6,224,97,43,9.4,96,2026-06-19T06:13,2026-06-19T19:36,Tormenta con granizo leve,9.5,70.0,Moderada,Cálido
2026-06-20,Guadalajara,México,MX,Norte,20.6597,-103.3496,America/Mexico_City,22.1,17.4,19.5,22.9,23.0,7.5,156,99,74,8.4,96,2026-06-20T06:13,2026-06-20T19:36,Tormenta con granizo leve,4.7,86.5,Fuerte,Templado
2026-06-21,Guadalajara,México,MX,Norte,20.6597,-103.3496,America/Mexico_City,24.8,17.4,20.1,7.9,11.0,9.9,130,98,57,6.6,96,2026-06-21T06:13,2026-06-21T19:36,Tormenta con granizo leve,7.4,77.5,Moderada,Cálido
2026-06-22,Guadalajara,México,MX,Norte,20.6597,-103.3496,America/Mexico_City,26.3,17.3,21.0,1.7,10.0,9.4,121,95,45,9.4,51,2026-06-22T06:14,2026-06-22T19:36,Llovizna leve,9.0,70.0,Leve,Cálido
2026-06-15,Monterrey,México,MX,Norte,25.6866,-100.3161,America/Mexico_City,29.2,23.4,25.2,72.0,4.0,16.9,43,95,69,7.2,95,2026-06-15T05:49,2026-06-15T19:33,Tormenta eléctrica,5.8,82.0,Muy fuerte,Cálido
2026-06-16,Monterrey,México,MX,Norte,25.6866,-100.3161,America/Mexico_City,33.1,21.8,27.2,0.4,1.0,16.9,80,95,44,8.8,95,2026-06-16T05:49,2026-06-16T19:34,Tormenta eléctrica,11.3,69.5,Leve,Cálido
2026-06-17,Monterrey,México,MX,Norte,25.6866,-100.3161,America/Mexico_City,37.5,23.3,30.3,0.0,0.0,14.1,106,92,39,8.8,95,2026-06-17T05:50,2026-06-17T19:34,Tormenta eléctrica,14.2,65.5,Sin lluvia,Muy cálido
2026-06-18,Monterrey,México,MX,Norte,25.6866,-100.3161,America/Mexico_City,44.7,26.2,35.2,0.0,0.0,26.9,47,71,15,8.8,95,2026-06-18T05:50,2026-06-18T19:34,Tormenta eléctrica,18.5,43.0,Sin lluvia,Muy cálido
2026-06-19,Monterrey,México,MX,Norte,25.6866,-100.3161,America/Mexico_City,37.2,21.1,28.2,41.5,4.0,44.1,38,100,48,7.8,95,2026-06-19T05:50,2026-06-19T19:34,Tormenta eléctrica,16.1,74.0,Fuerte,Cálido
2026-06-20,Monterrey,México,MX,Norte,25.6866,-100.3161,America/Mexico_City,29.3,21.5,24.9,0.0,0.0,13.7,94,96,67,8.8,95,2026-06-20T05:50,2026-06-20T19:35,Tormenta eléctrica,7.8,81.5,Sin lluvia,Cálido
2026-06-21,Monterrey,México,MX,Norte,25.6866,-100.3161,America/Mexico_City,33.7,22.6,27.8,0.0,0.0,18.8,98,97,54,8.6,95,2026-06-21T05:50,2026-06-21T19:35,Tormenta eléctrica,11.1,75.5,Sin lluvia,Cálido
2026-06-22,Monterrey,México,MX,Norte,25.6866,-100.3161,America/Mexico_City,35.8,24.6,29.2,0.0,0.0,25.0,102,96,40,8.8,95,2026-06-22T05:51,2026-06-22T19:35,Tormenta eléctrica,11.2,68.0,Sin lluvia,Cálido
2026-06-15,Ciudad de Guatemala,Guatemala,GT,Centroamérica,14.6349,-90.5069,America/Guatemala,27.4,16.4,20.4,3.1,6.0,10.4,42,100,43,9.3,55,2026-06-15T05:32,2026-06-15T18:32,Llovizna intensa,11.0,71.5,Leve,Cálido
2026-06-16,Ciudad de Guatemala,Guatemala,GT,Centroamérica,14.6349,-90.5069,America/Guatemala,26.4,16.4,20.1,0.2,1.0,19.0,187,100,46,9.2,51,2026-06-16T05:33,2026-06-16T18:32,Llovizna leve,10.0,73.0,Leve,Cálido
2026-06-17,Ciudad de Guatemala,Guatemala,GT,Centroamérica,14.6349,-90.5069,America/Guatemala,25.9,17.3,20.6,1.5,6.0,17.1,180,100,47,8.7,51,2026-06-17T05:33,2026-06-17T18:32,Llovizna leve,8.6,73.5,Leve,Cálido
2026-06-18,Ciudad de Guatemala,Guatemala,GT,Centroamérica,14.6349,-90.5069,America/Guatemala,26.0,16.9,20.5,1.2,6.0,19.8,185,91,45,9.2,53,2026-06-18T05:33,2026-06-18T18:32,Llovizna moderada,9.1,68.0,Leve,Cálido
2026-06-19,Ciudad de Guatemala,Guatemala,GT,Centroamérica,14.6349,-90.5069,America/Guatemala,26.4,14.4,20.3,2.9,8.0,17.1,182,98,43,8.9,53,2026-06-19T05:33,2026-06-19T18:33,Llovizna moderada,12.0,70.5,Leve,Cálido
2026-06-20,Ciudad de Guatemala,Guatemala,GT,Centroamérica,14.6349,-90.5069,America/Guatemala,26.4,14.8,20.5,3.1,4.0,14.4,61,99,39,9.2,80,2026-06-20T05:33,2026-06-20T18:33,Chubascos leves,11.6,69.0,Leve,Cálido
2026-06-21,Ciudad de Guatemala,Guatemala,GT,Centroamérica,14.6349,-90.5069,America/Guatemala,25.7,16.0,19.7,3.4,6.0,12.7,38,97,43,9.0,80,2026-06-21T05:34,2026-06-21T18:33,Chubascos leves,9.7,70.0,Leve,Templado
2026-06-22,Ciudad de Guatemala,Guatemala,GT,Centroamérica,14.6349,-90.5069,America/Guatemala,24.2,16.4,18.7,30.6,14.0,10.1,7,100,58,8.8,96,2026-06-22T05:34,2026-06-22T18:33,Tormenta con granizo leve,7.8,79.0,Fuerte,Templado
2026-06-15,San Salvador,El Salvador,SV,Centroamérica,13.6929,-89.2182,America/El_Salvador,30.7,21.0,24.0,5.8,14.0,10.7,347,100,48,7.7,95,2026-06-15T05:29,2026-06-15T18:25,Tormenta eléctrica,9.7,74.0,Moderada,Cálido
2026-06-16,San Salvador,El Salvador,SV,Centroamérica,13.6929,-89.2182,America/El_Salvador,28.8,20.9,23.5,7.3,15.0,10.3,179,99,57,8.4,95,2026-06-16T05:29,2026-06-16T18:25,Tormenta eléctrica,7.9,78.0,Moderada,Cálido
